Seller Platform,Seller SKU,Manfacture,Manufacture Code,Product Title,Description,Packaging,Qty,Categories,Product Page URL,Attachment URL,Image URL
Dental City,87-301,Kimberly Clark ,21400,21400 Kleenex Facial Tissues 36/Case,´ 100 tissues/pack ´ 3600 tissues ´ 2 ply ´ 8.6 x 8.4,Case,6,Dental Disposables/Facial Tissue,https://www.dentalcity.com/product/8446/kimberly-clark-kleenex-facial-tissues-36case,,https://www.dentalcity.com/CatalogImages/DENLN/18-8446-Product_Primary_Image-400X400.jpg
Dental City,87-300,Georgia Pacific ,48100,Pacific Blue Facial Tissues 30x100/Case 48100	,´ (30) 100 count boxes ´ 2 ply,Case 48100	,0,Dental Disposables/Facial Tissue,https://www.dentalcity.com/product/4173/georgia-pacific-preference-facial-tissues,,https://www.dentalcity.com/CatalogImages/DENLN/18-4173-Product_Primary_Image-400X400.jpg
Dental City,87-21270,Kimberly Clark ,21270,21270 Kleenex Boutique Facial Tissues 36/Case,´ 95 tissues/pack ´ 3420 tissues ´ 8.6 x 8.4 sheet size ´ 2 ply ´ Signal® Feature,Case,6,Dental Disposables/Facial Tissue,https://www.dentalcity.com/product/8445/kimberly-clark-kleenex-boutique-facial-tissues,,https://www.dentalcity.com/CatalogImages/DENLN/18-8445-Product_Primary_Image-400X400.jpg
Dental City,87-302,Kimberly Clark ,21606,21606 Kleenex Facial Tissues 48/Case,´ 125 tissues/pack ´ 6000 tissues ´ 2 ply,Case,8,Dental Disposables/Facial Tissue,https://www.dentalcity.com/product/8447/kimberly-clark-kleenex-facial-tissues-48case,,https://www.dentalcity.com/CatalogImages/DENLN/18-8447-Product_Primary_Image-400X400.jpg
Dental City,87-3076,Kimberly Clark ,03076,Kleenex White Facial Tissues 125/pk 12 pk/cs 03076,,pk 12 pk,5,Dental Disposables/Facial Tissue,https://www.dentalcity.com/product/20653/kimberly-clark-kleenex-white-facial-tissues,,https://www.dentalcity.com/CatalogImages/DENLN/18-20653-Product_Primary_Image-400X400.jpg
Dental City,87-303,Kimberly Clark ,21340,21340 Surpass Facial Tissues 30/100Ct Boxs,´ (30) 100 count boxes ´ 2 ply ´ 8 x 8.3,100Ct Boxs,0,Dental Disposables/Facial Tissue,https://www.dentalcity.com/product/8469/kimberly-clark-surpass-facial-tissues,,https://www.dentalcity.com/CatalogImages/DENLN/18-8469-Product_Primary_Image-400X400.jpg
Dental City,87-304,Kimberly Clark ,21195,21195 Kleenex Junior Facial Tissues 48/Case,´ 65 tissues/pack ´ 3120 tissues ´ 2 ply ´ 5.8 x 8.4,Case,8,Dental Disposables/Facial Tissue,https://www.dentalcity.com/product/8448/kimberly-clark-kleenex-junior-facial-tissues,,https://www.dentalcity.com/CatalogImages/DENLN/18-8448-Product_Primary_Image-400X400.jpg
Dental City,87-4636014,Georgia Pacific ,48580,Angel Soft Ultra Professional Facial Tissues Cube Box 10/Case 48580,,Case 48580,0,Dental Disposables/Facial Tissue,https://www.dentalcity.com/product/16922/georgia-pacific-angel-soft-ultra-professional-facial-tissues,,https://www.dentalcity.com/CatalogImages/DENLN/18-16922-Product_Primary_Image-400X400.jpg
Dental City,83-SL2028,Beyes ,SL2028,Maxso E-Type Contra Angle 1:1 Latch Type SL2028,"Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
","reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
",Forward,Handpieces/Low Speed,https://www.dentalcity.com/product/19720/beyes-maxso-low-speed-attachments,,https://www.dentalcity.com/CatalogImages/DENLN/18-19720-Product_Primary_Image-400X400.jpg
Dental City,83-ST2010,Beyes ,ST2010,Maxso S20A Straight Nose Cone 1:1 Non-Spray Non-Optic ST2010,,,,Handpieces/Low Speed,https://www.dentalcity.com/product/19708/beyes-maxso-air-motor-non-spray,,https://www.dentalcity.com/CatalogImages/DENLN/18-19708-Product_Primary_Image-400X400.jpg
