Seller Platform,Seller SKU,Manufacture,Manufacture Code,Product Title,Description,Packaging,Qty,Categories,Subcategories,Product Page URL,Image URL
Young Specialists,296040,Young Specialists,296040,Birex SE III Accessory Pack,"Birex SE III – Accessory Pack This accessory pack is designed for use with Birex SE III concentrate, including the 6ct Intro Pack, 12ct Operatory Pack, and 36ct Clinic Pack. Includes everything you need to mix, store and clean. Includes: For use with Birex SE III Concentrate: Intro Pack – makes 6 gallonsOperatory Pack – makes 12 gallonsClinic Pack – makes 36 gallons  (2) 32oz Spray Bottles(1) Gallon Mixing Jug(1) Funnel(2) Squirt Caps",,,Plak Smacker,Infection Control,https://www.youngspecialties.com/product/birex-se-iii-accessory-pack/,https://www.youngspecialties.com/wp-content/uploads/2022/03/Birex-SE-III-Accessory-Kit-150x150.jpg
Young Specialists,AEMHRX,Young Specialists,AEMHRX,"Mirror Handle, Round, 9.5mm","Lightweight Mirror Handle EagleLite Resin. 9.5mm Round. Single-sided, cone socket mirror handle in lightweight black resin. 9.5mm round design for ergonomic comfort. Mirror sold separately. Compatible with 20mm Mirror #4 and 22mm Mirror #5. Features: Black: EagleLite Resin: Cone Socket 9.5 mm, 3/8″ Round Single End Yes",,,Plak Smacker,Hand Instruments,https://www.youngspecialties.com/product/mirror-handle-round-9-5mm/,https://www.youngspecialties.com/wp-content/uploads/2022/09/Lightweight-Mirror-Handle-EagleLite-Resin-Black-Round-9.5mm-AEMHRX-150x150.jpg
Young Specialists,723-045,Young Specialists,723-045,"018 Roth Two-Piece Bracket System, Lower Anteriors (10 ct)","Comprehensively Coded, Exact Slot Tolerances, Torque in Base, Hyper Woven Bonding Pads — A Mini-Twin with the Control of a Full Size Bracket. Features:17-4 Surgical Steel Alloy with integral ball hook and bracket body — Strongest bracket construction Color Coded Bracket ID System — Removable dot Large Rhomboidal Shaped Base — Easy placement of bracket A Hyper-Woven, Anatomically Fitted Pad — Higher bond strength Built in Mesial/Distal Anti-Rotation Control — Expected clinical objectivesEnhanced Vertical Scribe Line — Helps with long axis placement Ample Tie-Wing Clearance — Allows for full wire engagement True Torque in Base provides level slot lineup — Fewer wire bends and eases finishing Diamond Cut Wire Slots — Accurate transfer of arch wire force Low Profile Design — Improved patient comfort",ct,10,Uncategorized,,https://www.youngspecialties.com/product/018-roth-two-piece-bracket-system-lower-anteriors-10-ct/,https://www.youngspecialties.com/wp-content/uploads/2021/12/723-200-pad-150x150.jpg
Young Specialists,BURTON-REFILL,Young Specialists,BURTON-REFILL,BurtonBands VursaWedge Kit Refill-Small - 2.0 mm,"   Unique split-wedge design gently curves next to and under the papilla, preventing upward displacementProvides a better contour, proper contact, and improved seal at the gingival marginAllows the practitioner to achieve superior results in less timeCompatible with any matrix band and ring systemAvailable in 4 sizes",,,Plak Smacker,Restorative,https://www.youngspecialties.com/product/burtonbands-vursawedge-kit-refill/,"https://www.youngspecialties.com/wp-content/uploads/2021/11/BurtonBands-VursaWedge-Refill-Group-150x150.jpg,https://www.youngspecialties.com/wp-content/uploads/2021/11/VursaWedge-Small-150x150.jpg,https://www.youngspecialties.com/wp-content/uploads/2021/11/VursaWedge-Medium-150x150.jpg,https://www.youngspecialties.com/wp-content/uploads/2021/11/VursaWedge-Large-150x150.jpg,https://www.youngspecialties.com/wp-content/uploads/2021/11/VursaWedge-Anatomical-150x150.jpg"
Young Specialists,296043,Young Specialists,296043,Birex SE III Clinic Pack: (36) 1oz Packets,"Birex SE III – Clinic Pack New and Improved Formula (36) 1 oz packets = 36 gallons This one-step cleaner and broad spectrum disinfectant is designed to save you money and space. Effective against a broad-spectrum of pathogens including the highly resistant mycobacterium tuberculosis (TB). List N approved for effective use against COVID-19 and SARS-CoV2 (Delta variant). Complies with OSHA’s Blood Borne Pathogens Standard and CDC guidelines for dental cleaning and disinfection. Formulated without the use of harsh solvents for worry-free, high frequency use on common dental surfaces. Features: Recommended Add-On: Birex SE III Accessory Kit – includes mixing jug, funnel, spray bottles, and squirt tops  EPA REG. NO 1043-128-51003Birex SE III is effective against M. Bovis (TB), HIV-1, staphylococ-cus, salmonella, pseudomonas, streptococcus, and drug-resistant organisms such as MRSA and H1N1 (swine flu). Birex SE III is effective against Covid-19 (SARS-CoV-2) when used in accordance with the direction for use against Adenovirus Type 2. EPA List N, List B approved. Birex SE III complies with OSHA’s Blood Borne Pathogens Standard and the CDC guidelines for dental disinfection and cleaning. Broad spectrum efficacy against bacteria, fungi, and viruses; proven tuberculocide and List N and List B approved35-day shelf life after dilution3-year shelf life pre-dilutionEffective against challenging micro-organisms and common microbesSuperior material compatibility, allows for high frequency use on most surfacesSaves valuable shelf space",,,Plak Smacker,Infection Control,https://www.youngspecialties.com/product/birex-se-iii-clinic-pack/,https://www.youngspecialties.com/wp-content/uploads/2022/03/BirexSE-III-36ct-Packets-296043-600x600-1-150x150.jpg
Young Specialists,296042,Young Specialists,296042,Birex SE III Operatory Pack: (12) 1oz Packets,"Birex SE III – Operatory Pack New and Improved Formula (12) 1 oz packets = 12 gallons This one-step cleaner and broad spectrum disinfectant is designed to save you money and space. Effective against a broad-spectrum of pathogens including the highly resistant mycobacterium tuberculosis (TB). List N approved for effective use against COVID-19 and SARS-CoV2 (Delta variant). Complies with OSHA’s Blood Borne Pathogens Standard and CDC guidelines for dental cleaning and disinfection. Formulated without the use of harsh solvents for worry-free, high frequency use on common dental surfaces. Features: Recommended Add-On: Birex SE III Accessory Kit – includes mixing jug, funnel, spray bottles, and squirt tops EPA REG. NO 1043-128-51003Birex SE III is effective against M. Bovis (TB), HIV-1, staphylococ-cus, salmonella, pseudomonas, streptococcus, and drug-resistant organisms such as MRSA and H1N1 (swine flu). Birex SE III is effective against Covid-19 (SARS-CoV-2) when used in accordance with the direction for use against Adenovirus Type 2. EPA List N, List B approved. Birex SE III complies with OSHA’s Blood Borne Pathogens Standard and the CDC guidelines for dental disinfection and cleaning. Broad spectrum efficacy against bacteria, fungi, and viruses; proven tuberculocide and List N and List B approved35-day shelf life after dilution3-year shelf life pre-dilutionEffective against challenging micro-organisms and common microbesSuperior material compatibility, allows for high frequency use on most surfacesSaves valuable shelf space",,,Plak Smacker,Infection Control,https://www.youngspecialties.com/product/birex-se-iii-operatory-pack/,https://www.youngspecialties.com/wp-content/uploads/2022/04/BirexSEIII-Operatory-Pack-12ct-296042-150x150.jpg
Young Specialists,296041,Young Specialists,296041,Birex SE III Intro Pack: (6) 1oz Packets,"Birex SE III – Intro Pack New and Improved Formula (6) 1 oz packets = 6 gallons This one-step cleaner and broad spectrum disinfectant is designed to save you money and space. Effective against a broad-spectrum of pathogens including the highly resistant mycobacterium tuberculosis (TB). List N approved for effective use against COVID-19 and SARS-CoV2 (Delta variant). Complies with OSHA’s Blood Borne Pathogens Standard and CDC guidelines for dental cleaning and disinfection. Formulated without the use of harsh solvents for worry-free, high frequency use on common dental surfaces. Features: Recommended Add-On: Birex SE III Accessory Kit – includes mixing jug, funnel, spray bottles, and squirt tops EPA REG. NO 1043-128-51003Birex SE III is effective against M. Bovis (TB), HIV-1, staphylococ-cus, salmonella, pseudomonas, streptococcus, and drug-resistant organisms such as MRSA and H1N1 (swine flu). Birex SE III is effective against Covid-19 (SARS-CoV-2) when used in accordance with the direction for use against Adenovirus Type 2. EPA List N, List B approved. Birex SE III complies with OSHA’s Blood Borne Pathogens Standard and the CDC guidelines for dental disinfection and cleaning. Broad spectrum efficacy against bacteria, fungi, and viruses; proven tuberculocide and List N and List B approved35-day shelf life after dilution3-year shelf life pre-dilutionEffective against challenging micro-organisms and common microbesSuperior material compatibility, allows for high frequency use on most surfacesSaves valuable shelf space",,,Plak Smacker,Infection Control,https://www.youngspecialties.com/product/birex-se-iii-intro-pack/,https://www.youngspecialties.com/wp-content/uploads/2022/03/BirexSE-III-6ct-Packets-296041-600x600-1-150x150.jpg
Young Specialists,DEFEND-TIPS,Young Specialists,DEFEND-TIPS,"Clear Intra-Oral Mixing Tips, 100ct-Small","Intra-Oral Mixing Tips, Clear DEFEND® intra-oral mixing tips provide precise placement interproximally. Fits universal mixing tips or T-Mix tips. Color: ClearSize: Large or SmallStyle: Intra-oral",ct,100,Plak Smacker,Restorative,https://www.youngspecialties.com/product/defend-clear-intra-oral-tips/,https://www.youngspecialties.com/wp-content/uploads/2021/12/Defend-Intra-Oral-Tips-Clear-Large_Small-150x150.jpg
Young Specialists,IK1000,Young Specialists,IK1000,BurtonBands VursaWedge Starter Kit (All Sizes),"Unique split-wedge design gently curves next to and under the papilla, preventing upward displacementProvides a better contour, proper contact, and improved seal at the gingival marginAllows the practitioner to achieve superior results in less timeCompatible with any matrix band and ring system30 Small VursaWedges30 Medium VursaWedges15 Large VursaWedges15 Anatomical VursaWedges10 Wedge2",,,Plak Smacker,Restorative,https://www.youngspecialties.com/product/burtonbands-vursawedge-starter-kits/,https://www.youngspecialties.com/wp-content/uploads/2021/12/IK1000-BB-VursaWedge-Starter-Kit-100-150x150.jpg
Young Specialists,BR-9200,Young Specialists,BR-9200,ClearBite Bite Registration Material,"ClearBite Bite Registration Material Great visibility for voids or bubbles, making this an excellent choice as a matrix for quick/easy self cure temporary materials. Light-cure through the clear material for dual cure or light-cured temporary materials. Includes: 2 – 50 ml cartridges & 6 pink mixing tips Work Time: 1:00 minuteSet Time: 1:00 minuteTotal work/set time: 2:00 minutesDurometer 60-65 (Shore A)Color: Clear",,,Plak Smacker,Restorative,https://www.youngspecialties.com/product/defend-clearbite/,https://www.youngspecialties.com/wp-content/uploads/2021/10/DEFEND-ClearBite-150x150.jpg
