Seller Platform,Seller SKU,Manufacture,Manufacture Code,Product Title,Description,Packaging,Qty,Categories,Subcategories,Product Page URL,Image URL
Young Specialists,Item #723-045,Young Specialists,Item #723-045,"018 Roth Two-Piece Bracket System, Lower Anteriors (10 ct)","Comprehensively Coded, Exact Slot Tolerances, Torque in Base, Hyper Woven Bonding Pads — A Mini-Twin with the Control of a Full Size Bracket., ,Features:,17-4 Surgical Steel Alloy with integral ball hook and bracket body — Strongest bracket construction, Color Coded Bracket ID System — Removable dot, Large Rhomboidal Shaped Base — Easy placement of bracket, A Hyper-Woven, Anatomically Fitted Pad — Higher bond strength, Built in Mesial/Distal Anti-Rotation Control — Expected clinical objectives,Enhanced Vertical Scribe Line — Helps with long axis placement, Ample Tie-Wing Clearance — Allows for full wire engagement, True Torque in Base provides level slot lineup — Fewer wire bends and eases finishing, Diamond Cut Wire Slots — Accurate transfer of arch wire force, Low Profile Design — Improved patient comfort","Comprehensively Coded, Exact Slot Tolerances, Torque in Base, Hyper Woven Bonding Pads — A Mini-Twin with the Control of a Full Size Bracket. Features:17-4 Surgical Steel Alloy with integral ball hook and bracket body — Strongest bracket construction Color Coded Bracket ID System — Removable dot Large Rhomboidal Shaped Base — Easy placement of bracket A Hyper-Woven, Anatomically Fitted Pad — Higher bond strength Built in Mesial/Distal Anti-Rotation Control — Expected clinical objectivesEnhanced Vertical Scribe Line — Helps with long axis placement Ample Tie-Wing Clearance — Allows for full wire engagement True Torque in Base provides level slot lineup — Fewer wire bends and eases finishing Diamond Cut Wire Slots — Accurate transfer of arch wire force Low Profile Design — Improved patient comfort","Comprehensively Coded, Exact Slot Tolerances, Torque in Base, Hyper Woven Bonding Pads — A Mini-Twin with the Control of a Full Size Bracket. Features:17-4 Surgical Steel Alloy with integral ball hook and bracket body — Strongest bracket construction Color Coded Bracket ID System — Removable dot Large Rhomboidal Shaped Base — Easy placement of bracket A Hyper-Woven, Anatomically Fitted Pad — Higher bond strength Built in Mesial/Distal Anti-Rotation Control — Expected clinical objectivesEnhanced Vertical Scribe Line — Helps with long axis placement Ample Tie-Wing Clearance — Allows for full wire engagement True Torque in Base provides level slot lineup — Fewer wire bends and eases finishing Diamond Cut Wire Slots — Accurate transfer of arch wire force Low Profile Design — Improved patient comfort",Uncategorized,,https://www.youngspecialties.com/product/018-roth-two-piece-bracket-system-lower-anteriors-10-ct/,"https://www.youngspecialties.com/wp-content/uploads/2021/12/723-200-pad-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2021/12/723-200-pad-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2021/12/723-200-pad-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2021/12/723-200-pad-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2021/12/723-200-pad-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2021/12/723-200-pad-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2021/12/723-200-pad-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2021/12/723-200-pad.jpg 1000w"
Young Specialists,Item #DEFEND-BITE,Young Specialists,Item #DEFEND-BITE,DEFEND® Bite Trays-Anterior,"Single-use trays designed especially for the double-bite impression technique. Tray undercuts lock in impression material, facilitating accurate final impressions. Flexible, non-tear webbing and rigid frame design provide accurate and detailed impressions of both arches in a single procedure. Disposable dual-arch impression tray simultaneously captures master impression, counter impression and bite registration.","Single-use trays designed especially for the double-bite impression technique. Tray undercuts lock in impression material, facilitating accurate final impressions. Flexible, non-tear webbing and rigid frame design provide accurate and detailed impressions of both arches in a single procedure. Disposable dual-arch impression tray simultaneously captures master impression, counter impression and bite registration.","Single-use trays designed especially for the double-bite impression technique. Tray undercuts lock in impression material, facilitating accurate final impressions. Flexible, non-tear webbing and rigid frame design provide accurate and detailed impressions of both arches in a single procedure. Disposable dual-arch impression tray simultaneously captures master impression, counter impression and bite registration.",Plak Smacker,Restorative,https://www.youngspecialties.com/product/defend-bite-trays/,"https://www.youngspecialties.com/wp-content/uploads/2021/12/Bite-Trays-Defend-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Bite-Trays-Defend-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Bite-Trays-Defend-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Bite-Trays-Defend-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Bite-Trays-Defend-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Bite-Trays-Defend-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Bite-Trays-Defend-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Bite-Trays-Defend.jpg 1000w"
Young Specialists,Item #DEFEND-TRAYS,Young Specialists,Item #DEFEND-TRAYS,DEFEND® Disposable Impression Tray (12ct)-#1 Large Upper,"Made of a strong, rigid material to assist in generating consistent impressions. Distortion free, preshaped, readily trimmed or flame softened for adjustments. Non-slip grips.","Made of a strong, rigid material to assist in generating consistent impressions. Distortion free, preshaped, readily trimmed or flame softened for adjustments. Non-slip grips.","Made of a strong, rigid material to assist in generating consistent impressions. Distortion free, preshaped, readily trimmed or flame softened for adjustments. Non-slip grips.",Plak Smacker,Restorative,https://www.youngspecialties.com/product/defend-disposable-impression-tray-12ct/,"https://www.youngspecialties.com/wp-content/uploads/2021/12/Impression-Trays-Defend-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Impression-Trays-Defend-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Impression-Trays-Defend-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Impression-Trays-Defend-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Impression-Trays-Defend-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Impression-Trays-Defend-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Impression-Trays-Defend-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Impression-Trays-Defend.jpg 1000w"
Young Specialists,Item #DPE-C300,Young Specialists,Item #DPE-C300,"Dental Pain Eraser, Professional Chairside Kit"," , ,Designed for day-to-day chairside use, the Dental Pain Eraser is a non-invasive, drug-free, FDA-cleared solution for oral pain management in adults and children age 10+. It effectively relieves pain in seconds and lasts up to 48 hours, without numbing or reduction in tactile sensation. The pen-like device emits a gentle, sub-sensory electrical pulse that temporarily blocks pain at the nerve ending, resulting in a pleasing and comfortable patient experience. Approximately 300 minutes of use included. 20 seconds – 2 minutes per patient depending on treatment area., , 1 Dental Pain Eraser, 4 Autoclavable Tips, and Protective Cap, ,Ideal for ,and ","  Designed for day-to-day chairside use, the Dental Pain Eraser is a non-invasive, drug-free, FDA-cleared solution for oral pain management in adults and children age 10+. It effectively relieves pain in seconds and lasts up to 48 hours, without numbing or reduction in tactile sensation. The pen-like device emits a gentle, sub-sensory electrical pulse that temporarily blocks pain at the nerve ending, resulting in a pleasing and comfortable patient experience. Approximately 300 minutes of use included. 20 seconds – 2 minutes per patient depending on treatment area.  1 Dental Pain Eraser, 4 Autoclavable Tips, and Protective Cap Ideal for and ","  Designed for day-to-day chairside use, the Dental Pain Eraser is a non-invasive, drug-free, FDA-cleared solution for oral pain management in adults and children age 10+. It effectively relieves pain in seconds and lasts up to 48 hours, without numbing or reduction in tactile sensation. The pen-like device emits a gentle, sub-sensory electrical pulse that temporarily blocks pain at the nerve ending, resulting in a pleasing and comfortable patient experience. Approximately 300 minutes of use included. 20 seconds – 2 minutes per patient depending on treatment area.  1 Dental Pain Eraser, 4 Autoclavable Tips, and Protective Cap Ideal for and ",Orthodontics,Pain Management,https://www.youngspecialties.com/product/dental-pain-eraser/,"https://www.youngspecialties.com/wp-content/uploads/2022/07/Synapse-Dental-Pain-Eraser-DPE-C300-1-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2022/07/Synapse-Dental-Pain-Eraser-DPE-C300-1-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2022/07/Synapse-Dental-Pain-Eraser-DPE-C300-1-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2022/07/Synapse-Dental-Pain-Eraser-DPE-C300-1-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2022/07/Synapse-Dental-Pain-Eraser-DPE-C300-1-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2022/07/Synapse-Dental-Pain-Eraser-DPE-C300-1-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2022/07/Synapse-Dental-Pain-Eraser-DPE-C300-1-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2022/07/Synapse-Dental-Pain-Eraser-DPE-C300-1.jpg 1000w"
Young Specialists,Item #Patient-Size-Ties,Young Specialists,Item #Patient-Size-Ties,Patient Size Bracket Ties (1008 ct)-Aqua," , ,Latex-free ligature ties with excellent strength and rebound. These .115 inch O.D. ligatures are easily separated from the stick and offer a perfect color match to our ,, ,, and , power chains. Packaged in a convenient patient size with 24 ties per stick. Includes 42 sticks per package for a total of 1,008 ties. Purchase a single color or an assorted pack of our most popular colors., , Use our Quick Order Pad to easily add multiple colors and quantities to your cart! Just click “Quick Order” in the top right corner of the page, next to the shopping cart and reference the item numbers below., , ","  Latex-free ligature ties with excellent strength and rebound. These .115 inch O.D. ligatures are easily separated from the stick and offer a perfect color match to our , , and  power chains. Packaged in a convenient patient size with 24 ties per stick. Includes 42 sticks per package for a total of 1,008 ties. Purchase a single color or an assorted pack of our most popular colors.  Use our Quick Order Pad to easily add multiple colors and quantities to your cart! Just click “Quick Order” in the top right corner of the page, next to the shopping cart and reference the item numbers below.  ","  Latex-free ligature ties with excellent strength and rebound. These .115 inch O.D. ligatures are easily separated from the stick and offer a perfect color match to our , , and  power chains. Packaged in a convenient patient size with 24 ties per stick. Includes 42 sticks per package for a total of 1,008 ties. Purchase a single color or an assorted pack of our most popular colors.  Use our Quick Order Pad to easily add multiple colors and quantities to your cart! Just click “Quick Order” in the top right corner of the page, next to the shopping cart and reference the item numbers below.  ",Orthodontics,Elastomeric Products,https://www.youngspecialties.com/product/patient-size-bracket-ties-1009-ct/,"https://www.youngspecialties.com/wp-content/uploads/2020/12/The-Orthodontic-Store-Patient-Size-Bracket-Ties-600x601.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2020/12/The-Orthodontic-Store-Patient-Size-Bracket-Ties-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2020/12/The-Orthodontic-Store-Patient-Size-Bracket-Ties-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2020/12/The-Orthodontic-Store-Patient-Size-Bracket-Ties-768x770.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2020/12/The-Orthodontic-Store-Patient-Size-Bracket-Ties-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2020/12/The-Orthodontic-Store-Patient-Size-Bracket-Ties-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2020/12/The-Orthodontic-Store-Patient-Size-Bracket-Ties-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2020/12/The-Orthodontic-Store-Patient-Size-Bracket-Ties-60x60.jpg 60w, https://www.youngspecialties.com/wp-content/uploads/2020/12/The-Orthodontic-Store-Patient-Size-Bracket-Ties-90x90.jpg 90w, https://www.youngspecialties.com/wp-content/uploads/2020/12/The-Orthodontic-Store-Patient-Size-Bracket-Ties.jpg 998w"
Young Specialists,Item #D-S-D-S,Young Specialists,Item #D-S-D-S,Double-Sided Diamond Strips (10 ct)-Fine/Perforated,"Fast-cutting diamond strips. Stainless steel with diamond grit. Thin and flexible; will not stretch or break. Fully autoclavable. Diamond coating is ideal for finishing enamel and restorative materials. 6” long and gapped for easy interproximal insertion., ,Double sided offers the standard finishing with half the tools. No frills option which gets twice the job done.",Fast-cutting diamond strips. Stainless steel with diamond grit. Thin and flexible; will not stretch or break. Fully autoclavable. Diamond coating is ideal for finishing enamel and restorative materials. 6” long and gapped for easy interproximal insertion. Double sided offers the standard finishing with half the tools. No frills option which gets twice the job done.,Fast-cutting diamond strips. Stainless steel with diamond grit. Thin and flexible; will not stretch or break. Fully autoclavable. Diamond coating is ideal for finishing enamel and restorative materials. 6” long and gapped for easy interproximal insertion. Double sided offers the standard finishing with half the tools. No frills option which gets twice the job done.,Orthodontics,Orthodontic Instruments,https://www.youngspecialties.com/product/double-sided-diamond-strips-10-ct/,"https://www.youngspecialties.com/wp-content/uploads/2022/01/Double-Sided-Diamond-Strips-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Double-Sided-Diamond-Strips-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Double-Sided-Diamond-Strips-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Double-Sided-Diamond-Strips-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Double-Sided-Diamond-Strips-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Double-Sided-Diamond-Strips-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Double-Sided-Diamond-Strips-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Double-Sided-Diamond-Strips.jpg 1000w"
Young Specialists,Item #Legacy-M-BT,Young Specialists,Item #Legacy-M-BT,Legacy M Buccal Tubes-MBT," , ,Manufactured to the highest tolerances using metal injection molding technology for unsurpassed precision and quality. Clinically tested to reduce friction and improve sliding mechanics, this one piece, low-profile design ensures patient comfort., ","  Manufactured to the highest tolerances using metal injection molding technology for unsurpassed precision and quality. Clinically tested to reduce friction and improve sliding mechanics, this one piece, low-profile design ensures patient comfort. ","  Manufactured to the highest tolerances using metal injection molding technology for unsurpassed precision and quality. Clinically tested to reduce friction and improve sliding mechanics, this one piece, low-profile design ensures patient comfort. ",Orthodontics,Buccal Tubes,https://www.youngspecialties.com/product/legacy-m-buccal-tubes/,"https://www.youngspecialties.com/wp-content/uploads/2022/05/Legacy-M-Buccal-Tube-Maxillary-1st-2nd-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2022/05/Legacy-M-Buccal-Tube-Maxillary-1st-2nd-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2022/05/Legacy-M-Buccal-Tube-Maxillary-1st-2nd-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2022/05/Legacy-M-Buccal-Tube-Maxillary-1st-2nd-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2022/05/Legacy-M-Buccal-Tube-Maxillary-1st-2nd-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2022/05/Legacy-M-Buccal-Tube-Maxillary-1st-2nd-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2022/05/Legacy-M-Buccal-Tube-Maxillary-1st-2nd-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2022/05/Legacy-M-Buccal-Tube-Maxillary-1st-2nd.jpg 1000w"
Young Specialists,Item #600-594,Young Specialists,Item #600-594,Soldering Rods with Flux (8 ct),Rods of solder combined with flux allow for easy and efficient use with no mess or waster. 8 pack of 6” long rods.,Rods of solder combined with flux allow for easy and efficient use with no mess or waster. 8 pack of 6” long rods.,Rods of solder combined with flux allow for easy and efficient use with no mess or waster. 8 pack of 6” long rods.,Orthodontics,Laboratory Supplies,https://www.youngspecialties.com/product/soldering-rods-with-flux-8-ct/,"https://www.youngspecialties.com/wp-content/uploads/2021/12/flux-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2021/12/flux-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2021/12/flux-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2021/12/flux-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2021/12/flux-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2021/12/flux-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2021/12/flux-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2021/12/flux.jpg 1000w"
Young Specialists,Item #605-010,Young Specialists,Item #605-010,Ring Lip Retractor (2 ct),"Has Many Uses: Retraction for Bonding, Lip Protection During IPR, Intraoral Photography,• One size fits most, • Smooth, flexible polyethylene plastic, • Cold sterilize only, • 2 per pack","Has Many Uses: Retraction for Bonding, Lip Protection During IPR, Intraoral Photography• One size fits most • Smooth, flexible polyethylene plastic • Cold sterilize only • 2 per pack","Has Many Uses: Retraction for Bonding, Lip Protection During IPR, Intraoral Photography• One size fits most • Smooth, flexible polyethylene plastic • Cold sterilize only • 2 per pack",Orthodontics,Adhesives & Bonding,https://www.youngspecialties.com/product/ring-lip-retractor-2-ct/,"https://www.youngspecialties.com/wp-content/uploads/2021/12/Cheek-Expander-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Cheek-Expander-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Cheek-Expander-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Cheek-Expander-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Cheek-Expander-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Cheek-Expander-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Cheek-Expander-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2021/12/Cheek-Expander.jpg 1000w"
Young Specialists,Item #S-D-S,Young Specialists,Item #S-D-S,Standard Diamond Strips (10 ct)-Super Fine,"Fast-cutting diamond strips. Stainless steel with diamond grit. Thin and flexible; will not stretch or break. Fully autoclavable. Diamond coating is ideal for finishing enamel and restorative materials. 6” long and gapped for easy interproximal insertion., ,Standard Diamond Strips allow for finishing without frills. The same standard polishing strips get the job done every time.",Fast-cutting diamond strips. Stainless steel with diamond grit. Thin and flexible; will not stretch or break. Fully autoclavable. Diamond coating is ideal for finishing enamel and restorative materials. 6” long and gapped for easy interproximal insertion. Standard Diamond Strips allow for finishing without frills. The same standard polishing strips get the job done every time.,Fast-cutting diamond strips. Stainless steel with diamond grit. Thin and flexible; will not stretch or break. Fully autoclavable. Diamond coating is ideal for finishing enamel and restorative materials. 6” long and gapped for easy interproximal insertion. Standard Diamond Strips allow for finishing without frills. The same standard polishing strips get the job done every time.,Orthodontics,Orthodontic Instruments,https://www.youngspecialties.com/product/standard-diamond-strips-10-ct/,"https://www.youngspecialties.com/wp-content/uploads/2022/01/Standard-Diamond-Strips-600x600.jpg 600w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Standard-Diamond-Strips-300x300.jpg 300w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Standard-Diamond-Strips-150x150.jpg 150w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Standard-Diamond-Strips-768x768.jpg 768w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Standard-Diamond-Strips-32x32.jpg 32w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Standard-Diamond-Strips-190x190.jpg 190w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Standard-Diamond-Strips-100x100.jpg 100w, https://www.youngspecialties.com/wp-content/uploads/2022/01/Standard-Diamond-Strips.jpg 1000w"
