Url,p_link,Categories
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/12643/zhermack-gingifast,impression-material
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/12414/waterpik-opotow-zoe-standard-blue-impression-paste,impression-material
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/17838/ivoclar-accudent-xd-syringe,impression-material
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/12661/zhermack-zetalabor-standard-package,impression-material
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/12650/zhermack-indurent-gel,impression-material
https://www.dentalcity.com/category/1185/cups,https://www.dentalcity.com/product/13438/dental-city-plastic-cups,cups
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/4182/gingipak-hydrocolloid-cohere-608-glass-cartridge,impression-material
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/3962/gc-america-exalence-putty-standard,impression-material
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/8401/keystone-industries-superpaste,impression-material
https://www.dentalcity.com/category/1185/cups,https://www.dentalcity.com/product/1784/crosstex-5-oz-plastic-drinking-cups,cups
https://www.dentalcity.com/category/1185/cups,https://www.dentalcity.com/product/11799/solo-3-oz-paper-drinking-cups,cups
https://www.dentalcity.com/category/1185/cups,https://www.dentalcity.com/product/8741/medicom-poly-coated-paper-cups,cups
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/12408/waterpik-krex-zoe-impression-paste-econo-package,impression-material
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/21184/ivoclar-gingitech-gingival-masking-material,impression-material
https://www.dentalcity.com/category/1185/cups,https://www.dentalcity.com/product/1816/crosstex-drinking-cup-dispenser,cups
https://www.dentalcity.com/category/1185/cups,https://www.dentalcity.com/product/10552/pro-advantage-1-oz-plastic-medicine-mixing-cups,cups
https://www.dentalcity.com/category/1185/cups,https://www.dentalcity.com/product/16004/medline-pleated-souffle-paper-cups-75oz,cups
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/12409/waterpik-krex-zoe-impression-standard-package,impression-material
https://www.dentalcity.com/category/1242/impression-material,https://www.dentalcity.com/product/8374/keystone-industries-plastopaste,impression-material
https://www.dentalcity.com/category/1185/cups,https://www.dentalcity.com/product/11892/tidi-5-oz-plastic-drinking-cups,cups
https://www.dentalcity.com/category/1172/glass-ionomer,https://www.dentalcity.com/product/223/3m-oral-care-relyx-luting-plus-automix-value-pack,glass-ionomer
https://www.dentalcity.com/category/1172/glass-ionomer,https://www.dentalcity.com/product/222/3m-oral-care-relyx-luting-plus-automix-trial-kit,glass-ionomer
https://www.dentalcity.com/category/1172/glass-ionomer,https://www.dentalcity.com/product/224/3m-oral-care-relyx-luting-plus-refill-2pack,glass-ionomer
https://www.dentalcity.com/category/1172/glass-ionomer,https://www.dentalcity.com/product/4028/gc-america-fuji-plus-caps,glass-ionomer
https://www.dentalcity.com/category/1187/headrest-covers,https://www.dentalcity.com/product/2200/dental-city-all-poly-headrest-covers,headrest-covers
https://www.dentalcity.com/category/1172/glass-ionomer,https://www.dentalcity.com/product/225/3m-oral-care-relyx-luting-plus-trial-kit,glass-ionomer
https://www.dentalcity.com/category/1172/glass-ionomer,https://www.dentalcity.com/product/4013/gc-america-fuji-ortho-band-paste-pak-refill,glass-ionomer
