Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty,Categories,Subcategories,Product URL,Attachment,Image URL
Dental City,83-SL2034,Beyes ,SL2034,Maxso Low Speed CS1-CH09 Contra Angle1:1 Non-Spray Non-Optic Screw-In Prophy Cup SL2034,"Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
",,,Handpieces,Low Speed,https://www.dentalcity.com/product/19720/beyes-maxso-low-speed-attachments,,https://www.dentalcity.com/CatalogImages/DENLN/19-58313-SkuImage-900X380.jpg
Dental City,83-SL2026,Beyes ,SL2026,Maxso Low Speed E-Type Contra-Angle 1:1 Non-Spray Non-Optic Push Button CA Burs SL2026,"Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
",,,Handpieces,Low Speed,https://www.dentalcity.com/product/19720/beyes-maxso-low-speed-attachments,,https://www.dentalcity.com/CatalogImages/DENLN/19-56622-SkuImage-900X380.jpg
Dental City,83-MT2010,Beyes ,MT2010,Maxso M20A-NS/M4 Air Motor 20K RPM M4 Backend Non-Spray Non-Optic MT2010,"Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
",,,Handpieces,Low Speed,https://www.dentalcity.com/product/19720/beyes-maxso-low-speed-attachments,,https://www.dentalcity.com/CatalogImages/DENLN/19-56608-SkuImage-900X380.jpg
Dental City,83-SL2028,Beyes ,SL2028,Maxso E-Type Contra Angle 1:1 Latch Type SL2028,"Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
,Beyes Low Speed Attachments for Maxso® Smart Low Speed Air Driven Handpiece System.
Air Motor (MT2010)

Powerful torque even at low speed
Speeds up to 20,000 RPM
Lightweight, perfectly balanced for user comfort
Forward/reverse drive with continuous speed control
Double-lock connection
Autoclavable
Compatible with all standard ISO-type connections
Lubrication required
1-year warranty

Contra Angle (SL2028)

1:1 Latch Type
CA burs
Autoclavable
1-year warranty

Contra Angle (SL2026)

1:1 Push Button
CA burs
Autoclavable
1-year warranty
",,,Handpieces,Low Speed,https://www.dentalcity.com/product/19720/beyes-maxso-low-speed-attachments,,https://www.dentalcity.com/CatalogImages/DENLN/19-56612-SkuImage-900X380.jpg
Dental City,83-752001,Denticator ,752001,Prophy Pal Hygiene Handpiece Green Ea 752001,"Denticator® ProphyPal® Hygiene Handpiece is a reliable and cost effective choice for your practice. It has an extended Sure-fit™ nosecone with a 360° swivel for maximum control and easy intraoral access. This handpiece features lightweight and balanced construction and an ergonomic grip that fits all hand sizes. It,Denticator® ProphyPal® Hygiene Handpiece is a reliable and cost effective choice for your practice. It has an extended Sure-fit™ nosecone with a 360° swivel for maximum control and easy intraoral access. This handpiece features lightweight and balanced construction and an ergonomic grip that fits all hand sizes. It,Denticator® ProphyPal® Hygiene Handpiece is a reliable and cost effective choice for your practice. It has an extended Sure-fit™ nosecone with a 360° swivel for maximum control and easy intraoral access. This handpiece features lightweight and balanced construction and an ergonomic grip that fits all hand sizes. It",,,Handpieces,Low Speed,https://www.dentalcity.com/product/2441/denticator-prophypal,,https://www.dentalcity.com/CatalogImages/DENLN/19-35835-SkuImage-900X380.jpg
Dental City,83-751001,Denticator ,751001,Prophy Pal Hygiene Handpiece Pink 751001,"Denticator® ProphyPal® Hygiene Handpiece is a reliable and cost effective choice for your practice. It has an extended Sure-fit™ nosecone with a 360° swivel for maximum control and easy intraoral access. This handpiece features lightweight and balanced construction and an ergonomic grip that fits all hand sizes. It,Denticator® ProphyPal® Hygiene Handpiece is a reliable and cost effective choice for your practice. It has an extended Sure-fit™ nosecone with a 360° swivel for maximum control and easy intraoral access. This handpiece features lightweight and balanced construction and an ergonomic grip that fits all hand sizes. It,Denticator® ProphyPal® Hygiene Handpiece is a reliable and cost effective choice for your practice. It has an extended Sure-fit™ nosecone with a 360° swivel for maximum control and easy intraoral access. This handpiece features lightweight and balanced construction and an ergonomic grip that fits all hand sizes. It",,,Handpieces,Low Speed,https://www.dentalcity.com/product/2441/denticator-prophypal,,https://www.dentalcity.com/CatalogImages/DENLN/19-35831-SkuImage-900X380.jpg
Dental City,83-750001,Denticator ,750001,Prophy Pal Hygiene Handpiece Silver 750001,"Denticator® ProphyPal® Hygiene Handpiece is a reliable and cost effective choice for your practice. It has an extended Sure-fit™ nosecone with a 360° swivel for maximum control and easy intraoral access. This handpiece features lightweight and balanced construction and an ergonomic grip that fits all hand sizes. It,Denticator® ProphyPal® Hygiene Handpiece is a reliable and cost effective choice for your practice. It has an extended Sure-fit™ nosecone with a 360° swivel for maximum control and easy intraoral access. This handpiece features lightweight and balanced construction and an ergonomic grip that fits all hand sizes. It,Denticator® ProphyPal® Hygiene Handpiece is a reliable and cost effective choice for your practice. It has an extended Sure-fit™ nosecone with a 360° swivel for maximum control and easy intraoral access. This handpiece features lightweight and balanced construction and an ergonomic grip that fits all hand sizes. It",,,Handpieces,Low Speed,https://www.dentalcity.com/product/2441/denticator-prophypal,,https://www.dentalcity.com/CatalogImages/DENLN/19-35825-SkuImage-900X380.jpg
Dental City,83-9060S,Microtech ,M5P-S,M5P Hygienist Handpiece Durable Stainless Steel M5P-S,"High torque motor. Designed for use with disposable and metal autoclavable prophy angles. Nose cone swivels 360 degrees. No lubrication required. Fully autoclavable. 1 year warranty.,High torque motor. Designed for use with disposable and metal autoclavable prophy angles. Nose cone swivels 360 degrees. No lubrication required. Fully autoclavable. 1 year warranty.",,,Handpieces,Low Speed,https://www.dentalcity.com/product/8990/microtech-m5p-hygienist-handpieces,,https://www.dentalcity.com/CatalogImages/DENLN/19-35945-SkuImage-900X380.jpg
Dental City,83-9060A,Microtech ,M5P-A,M5P Hygienist Handpiece Ultra Light Aluminum M5P-A,"High torque motor. Designed for use with disposable and metal autoclavable prophy angles. Nose cone swivels 360 degrees. No lubrication required. Fully autoclavable. 1 year warranty.,High torque motor. Designed for use with disposable and metal autoclavable prophy angles. Nose cone swivels 360 degrees. No lubrication required. Fully autoclavable. 1 year warranty.",,,Handpieces,Low Speed,https://www.dentalcity.com/product/8990/microtech-m5p-hygienist-handpieces,,https://www.dentalcity.com/CatalogImages/DENLN/19-35944-SkuImage-900X380.jpg
Dental City,83-2209,Vector ,ERA-NK,Marathon Economy Latch Head ERA-NK,"Fits NSK Angles.,Fits NSK Angles.",,,Handpieces,Low Speed,https://www.dentalcity.com/product/12205/vector-marathon-economy-latch-head,,https://www.dentalcity.com/CatalogImages/DENLN/19-35396-SkuImage-900X380.jpg
